[1/300] Average loss: 0.0167, time cost: 712.87s.
[2/300] Average loss: 0.0140, time cost: 700.17s.
[3/300] Average loss: 0.0137, time cost: 708.44s.
[4/300] Average loss: 0.0134, time cost: 707.26s.
[5/300] Average loss: 0.0127, time cost: 703.42s.
[6/300] Average loss: 0.0127, time cost: 705.26s.
[7/300] Average loss: 0.0127, time cost: 715.48s.
[8/300] Average loss: 0.0126, time cost: 709.17s.
[9/300] Average loss: 0.0120, time cost: 709.72s.
[10/300] Average loss: 0.0127, time cost: 701.77s.
[11/300] Average loss: 0.0125, time cost: 705.32s.
[12/300] Average loss: 0.0123, time cost: 703.30s.
[13/300] Average loss: 0.0124, time cost: 702.22s.
[14/300] Average loss: 0.0122, time cost: 700.05s.
[15/300] Average loss: 0.0121, time cost: 697.46s.
[16/300] Average loss: 0.0120, time cost: 699.99s.
[17/300] Average loss: 0.0119, time cost: 704.88s.
[18/300] Average loss: 0.0121, time cost: 699.57s.
[19/300] Average loss: 0.0122, time cost: 700.75s.
[20/300] Average loss: 0.0126, time cost: 704.84s.
[21/300] Average loss: 0.0116, time cost: 710.09s.
[22/300] Average loss: 0.0119, time cost: 695.82s.
[23/300] Average loss: 0.0116, time cost: 693.67s.
[24/300] Average loss: 0.0125, time cost: 702.12s.
[25/300] Average loss: 0.0117, time cost: 711.02s.
[26/300] Average loss: 0.0117, time cost: 703.83s.
[27/300] Average loss: 0.0117, time cost: 701.84s.
[28/300] Average loss: 0.0117, time cost: 702.56s.
[29/300] Average loss: 0.0117, time cost: 701.12s.
[30/300] Average loss: 0.0116, time cost: 702.13s.
[31/300] Average loss: 0.0116, time cost: 705.29s.
[32/300] Average loss: 0.0115, time cost: 708.29s.
[33/300] Average loss: 0.0115, time cost: 703.48s.
[34/300] Average loss: 0.0114, time cost: 698.71s.
[35/300] Average loss: 0.0123, time cost: 695.95s.
[36/300] Average loss: 0.0116, time cost: 704.55s.
[37/300] Average loss: 0.0114, time cost: 707.71s.
[38/300] Average loss: 0.0113, time cost: 691.68s.
[39/300] Average loss: 0.0119, time cost: 706.19s.
[40/300] Average loss: 0.0115, time cost: 689.53s.
[41/300] Average loss: 0.0114, time cost: 699.06s.
[42/300] Average loss: 0.0118, time cost: 711.53s.
[43/300] Average loss: 0.0112, time cost: 697.06s.
[44/300] Average loss: 0.0124, time cost: 708.61s.
[45/300] Average loss: 0.0119, time cost: 695.33s.
[46/300] Average loss: 0.0113, time cost: 704.70s.
[47/300] Average loss: 0.0116, time cost: 699.32s.
[48/300] Average loss: 0.0121, time cost: 700.79s.
[49/300] Average loss: 0.0113, time cost: 701.79s.
[50/300] Average loss: 0.0115, time cost: 705.73s.
[51/300] Average loss: 0.0114, time cost: 703.94s.
[52/300] Average loss: 0.0111, time cost: 699.49s.
[53/300] Average loss: 0.0112, time cost: 709.96s.
[54/300] Average loss: 0.0118, time cost: 703.66s.
[55/300] Average loss: 0.0117, time cost: 702.12s.
[56/300] Average loss: 0.0114, time cost: 706.76s.
[57/300] Average loss: 0.0115, time cost: 699.06s.
[58/300] Average loss: 0.0118, time cost: 700.48s.
[59/300] Average loss: 0.0113, time cost: 704.02s.
[60/300] Average loss: 0.0117, time cost: 707.18s.
[61/300] Average loss: 0.0112, time cost: 709.90s.
[62/300] Average loss: 0.0111, time cost: 697.40s.
